strain	date	country	division	location	host	authors	source
FJ591158.1	2008-XX-XX	USA			human	Chen et al	NCBI
AY582125.2	XXXX-XX-XX	Ghana				Parsyan et al	NCBI
AY582124.2	XXXX-XX-XX	Ghana				Parsyan et al	NCBI
FN598217.1	2002-02-22	Belgium			human	Op de Beeck et al	NCBI
AY647977.1	XXXX-XX-XX	Brazil			human	Keller et al	NCBI
DQ408305.1	XXXX-XX-XX	Germany				Schneider et al	NCBI
DQ408304.1	XXXX-XX-XX	Germany				Schneider et al	NCBI
DQ408303.1	XXXX-XX-XX	Germany				Schneider et al	NCBI
DQ408302.1	XXXX-XX-XX	Germany				Schneider et al	NCBI
DQ408301.1	XXXX-XX-XX	Germany				Schneider et al	NCBI
DQ333428.1	XXXX-XX-XX	Germany				Schneider et al	NCBI
DQ333427.1	XXXX-XX-XX	Germany				Schneider et al	NCBI
DQ333426.1	XXXX-XX-XX	Germany				Schneider et al	NCBI
EF216869.1	XXXX-XX-XX	USA				Baylis et al	NCBI
DQ234779.2	XXXX-XX-XX	Ghana	Kumasi			Parsyan et al	NCBI
DQ234778.2	XXXX-XX-XX	Ghana	Kumasi			Parsyan et al	NCBI
DQ234775.2	XXXX-XX-XX	Ghana	Kumasi			Parsyan et al	NCBI
DQ234771.2	XXXX-XX-XX	Ghana	Kumasi			Parsyan et al	NCBI
DQ234769.2	XXXX-XX-XX	Ghana	Kumasi			Parsyan et al	NCBI
DQ293995.2	XXXX-XX-XX	Belgium				Parsyan et al	NCBI
DQ357065.1	XXXX-XX-XX	Viet Nam				Toan et al	NCBI
DQ357064.1	XXXX-XX-XX	Viet Nam				Toan et al	NCBI
DQ225151.1	XXXX-XX-XX	Germany				Toan et al	NCBI
DQ225150.1	XXXX-XX-XX	Germany				Toan et al	NCBI
DQ225149.1	XXXX-XX-XX	Germany				Toan et al	NCBI
DQ225148.1	XXXX-XX-XX	Germany				Toan et al	NCBI
AJ717293.1	XXXX-XX-XX	Germany	Berlin		human	Liefeldt et al	NCBI
